City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,Mahajanga,-15.7167,46.3167,75.22,78,20,5.75,MG,2021-08-08 17:06:40
212,Smithers,54.7804,-127.1743,65.16,56,4,0.18,CA,2021-08-08 17:03:52
213,Beya,53.0533,90.9139,60.21,88,10,2.82,RU,2021-08-08 17:06:40
214,Sitka,57.0531,-135.33,58.89,77,90,4.61,US,2021-08-08 17:06:41
215,Baculin,7.4525,126.5842,76.69,82,100,3.15,PH,2021-08-08 17:06:41
216,Khatanga,71.9667,102.5,53.98,61,96,14.7,RU,2021-08-08 17:06:41
217,Clyde River,70.4692,-68.5914,46.45,54,16,10.51,CA,2021-08-08 17:03:16
218,Bonga,7.2833,36.2333,61.66,98,96,0.38,ET,2021-08-08 17:06:42
219,Turukhansk,65.8167,87.9833,59.09,67,7,8.52,RU,2021-08-08 17:06:42
220,New Norfolk,-42.7826,147.0587,44.1,82,12,2.98,AU,2021-08-08 17:03:53
221,Bereda,43.2686,-7.5406,76.41,59,35,7.2,ES,2021-08-08 17:06:42
222,Bitung,1.4451,125.1824,74.25,87,99,9.26,ID,2021-08-08 17:06:03
223,Lebu,-37.6167,-73.65,50.36,65,42,10.89,CL,2021-08-08 17:06:43
224,Dickinson,29.4608,-95.0513,94.17,69,75,1.99,US,2021-08-08 17:06:43
225,Novozybkov,52.5396,31.9275,78.53,64,29,2.08,RU,2021-08-08 17:06:43
226,Roald,62.5833,6.1333,71.65,72,0,8.05,NO,2021-08-08 17:06:44
227,Oussouye,12.485,-16.5469,82.47,70,75,10.54,SN,2021-08-08 17:06:44
228,Santa Cruz,-17.8,-63.1667,91.4,24,39,18.77,BO,2021-08-08 17:04:13
229,Asau,46.4333,26.4,77.92,62,14,0.51,RO,2021-08-08 17:06:44
230,La Macarena,2.1837,-73.7849,91.69,44,8,2.33,CO,2021-08-08 17:06:45
231,Puerto Leguizamo,-0.1934,-74.7819,93.02,43,60,1.3,CO,2021-08-08 17:06:45
232,Coro,11.4045,-69.6734,88.75,56,50,18.07,VE,2021-08-08 17:06:45
233,Shitanjing,39.2342,106.3439,75.11,28,19,6.44,CN,2021-08-08 17:05:13
234,Kattivakkam,13.2167,80.3167,86.09,75,20,12.77,IN,2021-08-08 17:06:46
235,Yerbogachen,61.2767,108.0108,51.75,58,1,1.12,RU,2021-08-08 17:06:46
236,Batemans Bay,-35.7167,150.1833,44.91,81,64,4.81,AU,2021-08-08 17:06:47
237,Vila Franca Do Campo,37.7167,-25.4333,72.01,72,47,8.97,PT,2021-08-08 17:06:47
238,Huangnihe,43.5583,128.0239,60.62,90,0,3.56,CN,2021-08-08 17:05:20
239,Bambous Virieux,-20.3428,57.7575,69.22,90,95,20.94,MU,2021-08-08 17:06:47
240,Verkhoyansk,67.5447,133.385,62.62,52,4,2.57,RU,2021-08-08 17:06:48
241,Bardoli,21.1167,73.1167,80.11,84,100,8.72,IN,2021-08-08 17:06:48
242,Pevek,69.7008,170.3133,36.73,84,87,8.21,RU,2021-08-08 17:06:48
243,Ilulissat,69.2167,-51.1,44.62,87,90,11.5,GL,2021-08-08 17:06:48
244,Sabang,5.8933,95.3214,83.14,78,100,11.18,ID,2021-08-08 17:06:49
245,Bay Roberts,47.5999,-53.2648,78.66,84,92,8.01,CA,2021-08-08 17:03:57
246,Agirish,61.9247,63.0231,61.09,91,96,5.48,RU,2021-08-08 17:06:49
247,Kirakira,-10.4544,161.9205,77.05,86,93,5.66,SB,2021-08-08 17:06:50
248,Makaryev,57.8797,43.8069,71.06,66,99,6.8,RU,2021-08-08 17:06:50
249,Sovetskiy,61.3614,63.5842,61.84,85,68,5.35,RU,2021-08-08 17:06:50
250,Meulaboh,4.1363,96.1285,79.77,86,100,8.52,ID,2021-08-08 17:06:50
251,Thompson,55.7435,-97.8558,64.56,94,90,3.44,CA,2021-08-08 17:04:22
252,Muisne,0.6,-80.0333,77.72,77,95,11.48,EC,2021-08-08 17:06:51
253,Zhigansk,66.7697,123.3711,59.05,45,99,8.03,RU,2021-08-08 17:04:45
254,Sergeyevka,53.88,67.4158,58.46,86,85,8.05,KZ,2021-08-08 17:06:51
255,Lufilufi,-13.8745,-171.5986,76.78,78,92,14.58,WS,2021-08-08 17:06:52
256,Altamira,-3.2033,-52.2064,96.49,28,6,5.88,BR,2021-08-08 17:06:52
257,Katherine,-14.4667,132.2667,57.52,54,4,4.61,AU,2021-08-08 17:06:52
258,Mount Isa,-20.7333,139.5,46.17,53,0,0.0,AU,2021-08-08 17:06:53
259,Richards Bay,-28.783,32.0377,67.71,71,1,12.12,ZA,2021-08-08 17:06:53
260,Ban Nahin,18.2418,104.2122,79.54,89,96,0.96,LA,2021-08-08 17:06:53
261,Swellendam,-34.0226,20.4417,57.4,62,94,13.85,ZA,2021-08-08 17:06:54
262,Amapa,1.0,-52.0,86.95,57,45,2.64,BR,2021-08-08 17:06:54
263,Gorontalo,0.5412,123.0595,73.9,95,79,2.1,ID,2021-08-08 17:06:54
264,Alofi,-19.0595,-169.9187,74.44,77,99,14.52,NU,2021-08-08 17:06:55
265,Sao Joao Da Barra,-21.6403,-41.0511,75.29,67,98,12.17,BR,2021-08-08 17:04:44
266,Aswan,24.0934,32.907,99.03,28,9,10.31,EG,2021-08-08 17:06:55
267,Lagoa,39.05,-27.9833,71.82,84,73,17.9,PT,2021-08-08 17:03:08
268,Port-Cartier,50.0334,-66.8654,66.92,43,10,6.98,CA,2021-08-08 17:06:56
269,Saint-Michel-Des-Saints,46.6834,-73.9159,77.22,44,30,3.22,CA,2021-08-08 17:06:56
270,Ahuimanu,21.4447,-157.8378,78.51,68,40,10.36,US,2021-08-08 17:06:56
271,Rolleston,-43.5833,172.3833,37.47,83,75,16.11,NZ,2021-08-08 17:06:56
272,Tasiilaq,65.6145,-37.6368,46.56,96,100,19.13,GL,2021-08-08 17:06:57
273,Rio De Janeiro,-22.9028,-43.2075,80.6,69,20,8.05,BR,2021-08-08 17:05:29
274,Kirkuk,35.4681,44.3922,100.94,11,0,5.39,IQ,2021-08-08 17:06:57
275,Skjervoy,70.0311,20.9714,75.2,57,97,14.12,NO,2021-08-08 17:06:57
276,Altrincham,53.3875,-2.3485,65.64,78,90,10.0,GB,2021-08-08 17:06:58
277,Burnie,-41.0667,145.9167,47.91,88,95,3.47,AU,2021-08-08 17:06:58
278,Port Hardy,50.6996,-127.4199,59.0,88,81,6.26,CA,2021-08-08 17:06:58
279,Trinidad,-14.8333,-64.9,91.38,46,20,10.36,BO,2021-08-08 17:06:59
280,Golfito,8.639,-83.166,85.21,66,20,4.09,CR,2021-08-08 17:06:59
281,Kokkola,63.8385,23.1307,66.51,81,75,12.66,FI,2021-08-08 17:06:59
282,Nome,64.5011,-165.4064,53.67,67,90,18.41,US,2021-08-08 17:05:45
283,Puerto Colombia,10.9878,-74.9547,87.89,67,100,11.83,CO,2021-08-08 17:07:00
284,Trelew,-43.249,-65.3051,53.8,30,0,7.92,AR,2021-08-08 17:02:42
285,Pecos,31.4229,-103.4932,93.29,33,1,3.44,US,2021-08-08 17:07:00
286,Gizo,-8.103,156.8419,80.26,74,66,5.3,SB,2021-08-08 17:07:00
287,Nagar Karnul,16.4821,78.3247,84.36,56,98,4.79,IN,2021-08-08 17:07:01
