City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
273,Akdepe,TM,42.0551,59.3788,96.89,15,0,11.23,clear sky
274,Longyearbyen,SJ,78.2186,15.6401,49.66,68,23,1.32,few clouds
275,Faanui,PF,-16.4833,-151.75,79.11,72,53,16.44,broken clouds
276,Mpika,ZM,-11.8343,31.4529,72.86,28,0,8.23,clear sky
277,Geraldton,AU,-28.7667,114.6,63.12,67,40,14.97,light rain
278,Vostok,RU,46.4856,135.8833,52.77,81,100,7.81,overcast clouds
279,Codajas,BR,-3.8367,-62.0569,92.25,45,0,2.08,clear sky
280,Ariquemes,BR,-9.9133,-63.0408,97.32,25,6,0.96,clear sky
281,Bhatkal,IN,13.9667,74.5667,78.84,88,83,3.27,broken clouds
282,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,16.11,few clouds
283,Tiarei,PF,-17.5333,-149.3333,73.42,75,76,15.77,broken clouds
284,Asyut,EG,27.181,31.1837,102.45,10,0,14.61,clear sky
285,High Level,CA,58.5169,-117.136,51.91,87,75,3.44,broken clouds
286,Kysyl-Syr,RU,63.8986,122.7617,73.47,41,95,7.94,overcast clouds
287,Brownfield,US,33.1812,-102.2744,77.7,47,0,12.59,clear sky
288,Hede,CN,33.7681,120.2517,72.72,92,1,2.21,light rain
289,Trzebiatow,PL,54.0615,15.2648,71.87,45,86,11.14,overcast clouds
290,Camacha,PT,33.0833,-16.3333,75.52,57,20,10.36,few clouds
291,Belaya Gora,RU,68.5333,146.4167,59.2,53,47,7.63,scattered clouds
292,Nishihara,JP,26.1842,127.7558,79.88,100,75,11.5,broken clouds
293,Muros,ES,42.7762,-9.0603,87.15,68,1,11.88,clear sky
294,Ostrovnoy,RU,68.0531,39.5131,60.35,61,0,12.19,clear sky
295,Biak,ID,-0.9131,122.8766,75.16,86,27,4.07,scattered clouds
296,Belmonte,BR,-15.8631,-38.8828,77.5,55,2,8.14,clear sky
297,Exaplatanos,GR,40.9772,22.125,102.06,42,29,3.38,scattered clouds
298,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,100,75,4.47,broken clouds
299,Ust-Kulom,RU,61.6864,53.6902,56.71,78,93,0.81,overcast clouds
300,Jumla,NP,29.2747,82.1838,62.67,95,93,1.79,overcast clouds
301,Rosetta,EG,31.4044,30.4164,83.14,64,0,15.01,clear sky
302,Camocim,BR,-2.9022,-40.8411,90.77,48,5,12.68,clear sky
303,Taoudenni,ML,22.6783,-3.9836,115.07,7,4,5.44,clear sky
304,Saint-Nazaire,FR,47.2833,-2.2,73.67,77,75,14.97,broken clouds
305,Darnah,LY,32.767,22.6367,83.8,65,0,20.62,clear sky
306,Salinopolis,BR,-0.6136,-47.3561,86.45,61,3,12.73,clear sky
307,Cherskiy,RU,68.75,161.3,52.52,41,66,5.97,broken clouds
308,Iaciara,BR,-14.0958,-46.6317,87.84,27,7,0.85,clear sky
309,Mandalgovi,MN,45.7625,106.2708,60.93,38,0,8.14,clear sky
310,Samarai,PG,-10.6167,150.6667,77.4,87,34,13.47,scattered clouds
311,Kapuskasing,CA,49.4169,-82.4331,71.69,94,90,6.91,mist
312,Srivardhan,IN,18.0333,73.0167,81.07,83,100,4.59,overcast clouds
313,La Asuncion,VE,11.0333,-63.8628,82.13,89,95,9.22,overcast clouds
314,Puerto Gaitan,CO,4.3133,-72.0816,83.05,71,22,5.03,few clouds
315,Sobolevo,RU,54.4299,31.8996,80.22,52,11,5.86,few clouds
316,Aswan,EG,24.0934,32.907,110.53,11,0,12.03,clear sky
317,Calvinia,ZA,-31.4707,19.776,53.87,39,5,12.73,clear sky
318,Louis Trichardt,ZA,-23.0439,29.9032,80.28,15,0,5.73,clear sky
319,North Bend,US,43.4065,-124.2243,57.07,100,1,5.75,clear sky
320,Cabo San Lucas,MX,22.8909,-109.9124,87.51,68,10,5.99,clear sky
321,Kudahuvadhoo,MV,2.6708,72.8944,83.3,70,85,10.04,overcast clouds
322,Baykit,RU,61.67,96.37,60.93,75,97,3.62,overcast clouds
323,Puerto Escondido,MX,15.85,-97.0667,81.43,74,75,5.75,broken clouds
324,Kabompo,ZM,-13.5927,24.2008,86.86,10,0,6.46,clear sky
325,Kinston,US,35.2627,-77.5816,86.16,69,1,0.0,clear sky
326,Uige,AO,-7.6087,15.0613,80.62,50,40,9.22,scattered clouds
327,Kedougou,SN,12.5579,-12.1743,86.29,70,98,1.9,light rain
328,Somerset,US,40.5668,-74.5496,83.25,72,1,3.0,clear sky
329,Tuatapere,NZ,-46.1333,167.6833,42.82,92,100,5.48,overcast clouds
330,Kununurra,AU,-15.7667,128.7333,60.78,67,6,0.0,clear sky
331,Deniliquin,AU,-35.5333,144.9667,45.0,77,0,6.35,clear sky
332,Port Blair,IN,11.6667,92.75,82.54,83,65,10.71,broken clouds
333,Serebryansk,KZ,49.6925,83.2892,67.55,37,92,9.22,overcast clouds
334,Wingham,CA,43.8879,-81.3114,81.39,78,10,12.84,clear sky
335,Neyshabur,IR,36.2133,58.7958,87.58,12,0,13.76,clear sky
336,Batagay,RU,67.6333,134.6333,65.55,48,3,0.4,clear sky
337,Doha,QA,25.2867,51.5333,109.71,59,6,10.36,clear sky
338,Wahiawa,US,21.5028,-158.0236,75.52,78,75,4.61,broken clouds
339,Shingu,JP,33.7333,135.9833,75.85,88,20,6.8,few clouds
